title,title_detail,links,link,comments,authors,author,author_detail,summary,summary_detail,published,published_parsed,id,guidislink,sum_word_cnt,dict_word_cnt
Teen drowns in Pantabangan river,"{'type': 'text/plain', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Teen drowns in Pantabangan river'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.philstar.com/nation/2022/06/18/2189118/teen-drowns-pantabangan-river'}]",https://www.philstar.com/nation/2022/06/18/2189118/teen-drowns-pantabangan-river,https://www.philstar.com/nation/2022/06/18/2189118/teen-drowns-pantabangan-river,[{'name': 'Ramon Efren Lazaro'}],Ramon Efren Lazaro,{'name': 'Ramon Efren Lazaro'},13-year-old student drowned while swimming with his friends in Pantabangan River on Thursday afternoon.,"{'type': 'text/html', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': '13-year-old student\xa0drowned while swimming with his friends in Pantabangan River on Thursday afternoon.'}","Sat, 18 Jun 2022 00:00:00 +0800","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=168, tm_isdst=0)",https://www.philstar.com/nation/2022/06/18/2189118/teen-drowns-pantabangan-river,False,14,"{'13-year-old': 1, 'student': 1, 'drowned': 1, 'while': 1, 'swimming': 1, 'with': 1, 'his': 1, 'friends': 1, 'in': 1, 'Pantabangan': 1, 'River': 1, 'on': 1, 'Thursday': 1, 'afternoon.': 1}"
Vehicle plunges into ravine; 2 dead,"{'type': 'text/plain', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Vehicle plunges into ravine; 2 dead'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.philstar.com/nation/2022/06/18/2189119/vehicle-plunges-ravine-2-dead'}]",https://www.philstar.com/nation/2022/06/18/2189119/vehicle-plunges-ravine-2-dead,https://www.philstar.com/nation/2022/06/18/2189119/vehicle-plunges-ravine-2-dead,[{'name': 'Artemio Dumlao'}],Artemio Dumlao,{'name': 'Artemio Dumlao'},"Two boys died and three others were injured when their vehicle plunged into a ravine in Bontoc, Mountain Province on Thursday night.","{'type': 'text/html', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Two boys died and three others were injured when their vehicle plunged into a ravine in Bontoc, Mountain Province on Thursday night.'}","Sat, 18 Jun 2022 00:00:00 +0800","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=168, tm_isdst=0)",https://www.philstar.com/nation/2022/06/18/2189119/vehicle-plunges-ravine-2-dead,False,22,"{'Two': 1, 'boys': 1, 'died': 1, 'and': 1, 'three': 1, 'others': 1, 'were': 1, 'injured': 1, 'when': 1, 'their': 1, 'vehicle': 1, 'plunged': 1, 'into': 1, 'a': 1, 'ravine': 1, 'in': 1, 'Bontoc,': 1, 'Mountain': 1, 'Province': 1, 'on': 1, 'Thursday': 1, 'night.': 1}"
Cavite bettor wins P9.4 million lotto jackpot,"{'type': 'text/plain', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Cavite bettor wins P9.4 million lotto jackpot'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.philstar.com/nation/2022/06/18/2189120/cavite-bettor-wins-p94-million-lotto-jackpot'}]",https://www.philstar.com/nation/2022/06/18/2189120/cavite-bettor-wins-p94-million-lotto-jackpot,https://www.philstar.com/nation/2022/06/18/2189120/cavite-bettor-wins-p94-million-lotto-jackpot,[{'name': 'Rainier Allan Ronda'}],Rainier Allan Ronda,{'name': 'Rainier Allan Ronda'},"A bettor in Amadeo, Cavite won the jackpot in the 6/42 Regular Lotto  drawn on Thursday night, according to the Philippine Charity Sweepstakes Office.","{'type': 'text/html', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'A bettor in Amadeo, Cavite won the jackpot in the 6/42 Regular Lotto\xa0 drawn on Thursday night, according to the Philippine Charity Sweepstakes Office.'}","Sat, 18 Jun 2022 00:00:00 +0800","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=168, tm_isdst=0)",https://www.philstar.com/nation/2022/06/18/2189120/cavite-bettor-wins-p94-million-lotto-jackpot,False,24,"{'A': 1, 'bettor': 1, 'in': 2, 'Amadeo,': 1, 'Cavite': 1, 'won': 1, 'the': 3, 'jackpot': 1, '6/42': 1, 'Regular': 1, 'Lotto': 1, 'drawn': 1, 'on': 1, 'Thursday': 1, 'night,': 1, 'according': 1, 'to': 1, 'Philippine': 1, 'Charity': 1, 'Sweepstakes': 1, 'Office.': 1}"
Bong Go aids Tarlac residents,"{'type': 'text/plain', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Bong Go aids Tarlac residents'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.philstar.com/nation/2022/06/18/2189121/bong-go-aids-tarlac-residents'}]",https://www.philstar.com/nation/2022/06/18/2189121/bong-go-aids-tarlac-residents,https://www.philstar.com/nation/2022/06/18/2189121/bong-go-aids-tarlac-residents,[{}],,,Sen. Bong Go visited Tarlac City on Wednesday to meet and provide assistance to thousands of residents who have been struggling due to the adverse impact of the COVID pandemic.,"{'type': 'text/html', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Sen. Bong Go visited Tarlac City on Wednesday to meet and provide assistance to thousands of residents who have been struggling due to the adverse impact of the COVID pandemic.'}","Sat, 18 Jun 2022 00:00:00 +0800","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=168, tm_isdst=0)",https://www.philstar.com/nation/2022/06/18/2189121/bong-go-aids-tarlac-residents,False,30,"{'Sen.': 1, 'Bong': 1, 'Go': 1, 'visited': 1, 'Tarlac': 1, 'City': 1, 'on': 1, 'Wednesday': 1, 'to': 3, 'meet': 1, 'and': 1, 'provide': 1, 'assistance': 1, 'thousands': 1, 'of': 2, 'residents': 1, 'who': 1, 'have': 1, 'been': 1, 'struggling': 1, 'due': 1, 'the': 2, 'adverse': 1, 'impact': 1, 'COVID': 1, 'pandemic.': 1}"
2 terrorists killed in Maguindanao,"{'type': 'text/plain', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': '2 terrorists killed in Maguindanao'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.philstar.com/nation/2022/06/18/2189123/2-terrorists-killed-maguindanao'}]",https://www.philstar.com/nation/2022/06/18/2189123/2-terrorists-killed-maguindanao,https://www.philstar.com/nation/2022/06/18/2189123/2-terrorists-killed-maguindanao,[{'name': 'John Unson'}],John Unson,{'name': 'John Unson'},Two members of a local terrorist group were killed in an alleged shootout with law enforcers in Barangay Bugasan in this town on Thursday.,"{'type': 'text/html', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Two members of a local terrorist group were killed in an alleged shootout with law enforcers in Barangay Bugasan in this town on Thursday.'}","Sat, 18 Jun 2022 00:00:00 +0800","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=168, tm_isdst=0)",https://www.philstar.com/nation/2022/06/18/2189123/2-terrorists-killed-maguindanao,False,24,"{'Two': 1, 'members': 1, 'of': 1, 'a': 1, 'local': 1, 'terrorist': 1, 'group': 1, 'were': 1, 'killed': 1, 'in': 3, 'an': 1, 'alleged': 1, 'shootout': 1, 'with': 1, 'law': 1, 'enforcers': 1, 'Barangay': 1, 'Bugasan': 1, 'this': 1, 'town': 1, 'on': 1, 'Thursday.': 1}"
Philippines reports new bird flu outbreaks,"{'type': 'text/plain', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Philippines reports new bird flu outbreaks'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.philstar.com/nation/2022/06/18/2189124/philippines-reports-new-bird-flu-outbreaks-'}]",https://www.philstar.com/nation/2022/06/18/2189124/philippines-reports-new-bird-flu-outbreaks-,https://www.philstar.com/nation/2022/06/18/2189124/philippines-reports-new-bird-flu-outbreaks-,[{'name': 'Catherine Talavera'}],Catherine Talavera,{'name': 'Catherine Talavera'},Avian influenza or bird flu continues to spread across the country as new outbreaks have been recorded in Luzon and Mindanao.,"{'type': 'text/html', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Avian influenza or bird flu continues to spread across the country as new outbreaks have been recorded in Luzon and Mindanao.'}","Sat, 18 Jun 2022 00:00:00 +0800","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=168, tm_isdst=0)",https://www.philstar.com/nation/2022/06/18/2189124/philippines-reports-new-bird-flu-outbreaks-,False,21,"{'Avian': 1, 'influenza': 1, 'or': 1, 'bird': 1, 'flu': 1, 'continues': 1, 'to': 1, 'spread': 1, 'across': 1, 'the': 1, 'country': 1, 'as': 1, 'new': 1, 'outbreaks': 1, 'have': 1, 'been': 1, 'recorded': 1, 'in': 1, 'Luzon': 1, 'and': 1, 'Mindanao.': 1}"
P40 million illegal drugs seized,"{'type': 'text/plain', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'P40 million illegal drugs seized'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.philstar.com/nation/2022/06/18/2189125/p40-million-illegal-drugs-seized'}]",https://www.philstar.com/nation/2022/06/18/2189125/p40-million-illegal-drugs-seized,https://www.philstar.com/nation/2022/06/18/2189125/p40-million-illegal-drugs-seized,[{'name': 'Emmanuel Tupas'}],Emmanuel Tupas,{'name': 'Emmanuel Tupas'},"Illegal drugs worth nearly P40 million were confiscated in Cebu City and Kalinga in the past two days, according to the Philippine National Police.","{'type': 'text/html', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Illegal drugs worth nearly P40 million were confiscated in Cebu City and Kalinga in the past two days, according to the Philippine National Police.'}","Sat, 18 Jun 2022 00:00:00 +0800","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=168, tm_isdst=0)",https://www.philstar.com/nation/2022/06/18/2189125/p40-million-illegal-drugs-seized,False,24,"{'Illegal': 1, 'drugs': 1, 'worth': 1, 'nearly': 1, 'P40': 1, 'million': 1, 'were': 1, 'confiscated': 1, 'in': 2, 'Cebu': 1, 'City': 1, 'and': 1, 'Kalinga': 1, 'the': 2, 'past': 1, 'two': 1, 'days,': 1, 'according': 1, 'to': 1, 'Philippine': 1, 'National': 1, 'Police.': 1}"
DENR: Building at dolomite beach for ‘mandamus agencies’,"{'type': 'text/plain', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'DENR: Building at dolomite beach for ‘mandamus agencies’'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.philstar.com/nation/2022/06/18/2189199/denr-building-dolomite-beach-mandamus-agencies'}]",https://www.philstar.com/nation/2022/06/18/2189199/denr-building-dolomite-beach-mandamus-agencies,https://www.philstar.com/nation/2022/06/18/2189199/denr-building-dolomite-beach-mandamus-agencies,[{'name': 'Rhodina Villanueva'}],Rhodina Villanueva,{'name': 'Rhodina Villanueva'},"A two-story building is under construction at the Manila Baywalk Dolomite Beach to house personnel of 13 agencies tasked to implement the Supreme Court  writ of continuing mandamus to rehabilitate Manila Bay, a Department of Environment and Natural Resources official said yesterday.","{'type': 'text/html', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'A two-story building is under construction at the Manila Baywalk Dolomite Beach to house personnel of 13 agencies tasked to implement the Supreme Court  writ of continuing mandamus to rehabilitate Manila Bay, a Department of Environment and Natural Resources official said yesterday.'}","Sat, 18 Jun 2022 00:00:00 +0800","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=168, tm_isdst=0)",https://www.philstar.com/nation/2022/06/18/2189199/denr-building-dolomite-beach-mandamus-agencies,False,42,"{'A': 1, 'two-story': 1, 'building': 1, 'is': 1, 'under': 1, 'construction': 1, 'at': 1, 'the': 2, 'Manila': 2, 'Baywalk': 1, 'Dolomite': 1, 'Beach': 1, 'to': 3, 'house': 1, 'personnel': 1, 'of': 3, '13': 1, 'agencies': 1, 'tasked': 1, 'implement': 1, 'Supreme': 1, 'Court': 1, 'writ': 1, 'continuing': 1, 'mandamus': 1, 'rehabilitate': 1, 'Bay,': 1, 'a': 1, 'Department': 1, 'Environment': 1, 'and': 1, 'Natural': 1, 'Resources': 1, 'official': 1, 'said': 1, 'yesterday.': 1}"
Hit-and-run suspect skips hearing,"{'type': 'text/plain', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Hit-and-run suspect skips hearing'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.philstar.com/nation/2022/06/18/2189206/hit-and-run-suspect-skips-hearing'}]",https://www.philstar.com/nation/2022/06/18/2189206/hit-and-run-suspect-skips-hearing,https://www.philstar.com/nation/2022/06/18/2189206/hit-and-run-suspect-skips-hearing,[{'name': 'Jose Rodel Clapano'}],Jose Rodel Clapano,{'name': 'Jose Rodel Clapano'},"Two days after holding a press conference at Camp Crame, hit-and-run suspect Jose Antonio Sanvicente did not attend a preliminary investigation hearing at the Mandaluyong prosecutor’s office yesterday.","{'type': 'text/html', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Two days after holding a press conference at Camp Crame, hit-and-run suspect Jose Antonio Sanvicente did not attend a preliminary investigation hearing at the Mandaluyong prosecutor’s office yesterday.'}","Sat, 18 Jun 2022 00:00:00 +0800","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=168, tm_isdst=0)",https://www.philstar.com/nation/2022/06/18/2189206/hit-and-run-suspect-skips-hearing,False,28,"{'Two': 1, 'days': 1, 'after': 1, 'holding': 1, 'a': 2, 'press': 1, 'conference': 1, 'at': 2, 'Camp': 1, 'Crame,': 1, 'hit-and-run': 1, 'suspect': 1, 'Jose': 1, 'Antonio': 1, 'Sanvicente': 1, 'did': 1, 'not': 1, 'attend': 1, 'preliminary': 1, 'investigation': 1, 'hearing': 1, 'the': 1, 'Mandaluyong': 1, 'prosecutor’s': 1, 'office': 1, 'yesterday.': 1}"
Fire hits historic Metropolitan Theater,"{'type': 'text/plain', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'Fire hits historic Metropolitan Theater'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.philstar.com/nation/2022/06/18/2189207/fire-hits-historic-metropolitan-theater'}]",https://www.philstar.com/nation/2022/06/18/2189207/fire-hits-historic-metropolitan-theater,https://www.philstar.com/nation/2022/06/18/2189207/fire-hits-historic-metropolitan-theater,[{'name': 'Ghio Ong'}],Ghio Ong,{'name': 'Ghio Ong'},A portion of the iconic Metropolitan Theater was gutted by fire yesterday.,"{'type': 'text/html', 'language': None, 'base': 'https://www.philstar.com/rss/nation', 'value': 'A portion of the iconic Metropolitan Theater was gutted by fire yesterday.'}","Sat, 18 Jun 2022 00:00:00 +0800","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=168, tm_isdst=0)",https://www.philstar.com/nation/2022/06/18/2189207/fire-hits-historic-metropolitan-theater,False,12,"{'A': 1, 'portion': 1, 'of': 1, 'the': 1, 'iconic': 1, 'Metropolitan': 1, 'Theater': 1, 'was': 1, 'gutted': 1, 'by': 1, 'fire': 1, 'yesterday.': 1}"
