[2022-06-17 14:31:24,337] {taskinstance.py:1159} INFO - Dependencies all met for <TaskInstance: coffee_lake_scrapers-v1.word_count manual__2022-06-17T14:31:14.437672+00:00 [queued]>
[2022-06-17 14:31:24,350] {taskinstance.py:1159} INFO - Dependencies all met for <TaskInstance: coffee_lake_scrapers-v1.word_count manual__2022-06-17T14:31:14.437672+00:00 [queued]>
[2022-06-17 14:31:24,351] {taskinstance.py:1356} INFO - 
--------------------------------------------------------------------------------
[2022-06-17 14:31:24,351] {taskinstance.py:1357} INFO - Starting attempt 1 of 1
[2022-06-17 14:31:24,351] {taskinstance.py:1358} INFO - 
--------------------------------------------------------------------------------
[2022-06-17 14:31:24,365] {taskinstance.py:1377} INFO - Executing <Task(_PythonDecoratedOperator): word_count> on 2022-06-17 14:31:14.437672+00:00
[2022-06-17 14:31:24,370] {standard_task_runner.py:52} INFO - Started process 2693 to run task
[2022-06-17 14:31:24,372] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'coffee_lake_scrapers-v1', 'word_count', 'manual__2022-06-17T14:31:14.437672+00:00', '--job-id', '113', '--raw', '--subdir', 'DAGS_FOLDER/scraper_dag.py', '--cfg-path', '/tmp/tmptdi776km', '--error-file', '/tmp/tmpzdit8zh3']
[2022-06-17 14:31:24,373] {standard_task_runner.py:80} INFO - Job 113: Subtask word_count
[2022-06-17 14:31:24,434] {task_command.py:370} INFO - Running <TaskInstance: coffee_lake_scrapers-v1.word_count manual__2022-06-17T14:31:14.437672+00:00 [running]> on host 32595384c4c5
[2022-06-17 14:31:24,525] {taskinstance.py:1571} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=coffee_lake_scrapers-v1
AIRFLOW_CTX_TASK_ID=word_count
AIRFLOW_CTX_EXECUTION_DATE=2022-06-17T14:31:14.437672+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2022-06-17T14:31:14.437672+00:00
[2022-06-17 14:31:24,528] {logging_mixin.py:115} INFO - ['philstar_2022-06-17_02-13-10.csv', 'philstar_2022-06-17_02-15-51.csv', 'philstar_2022-06-17_02-18-29.csv', 'philstar_2022-06-17_02-31-18.csv']
[2022-06-17 14:31:24,547] {logging_mixin.py:115} INFO -                                              summary  sum_word_cnt
0  A member of the Citizens Armed Forces Geograph...            24
1  The situation was eventually raised to a secon...            21
2  Two brothers who admitted to be members of the...            23
3  A magnitude-5.1 earthquake shook parts of Iloc...            13
4  Marijuana plants with an estimated value of P2...            19
5  Former National Press Club president Alfredo L...            19
6  The movement of the Abu Sayyaf bandit group wi...            32
7  The mayor of Pilar town in Abra and his sister...            30
8  Workers in the private sector in the Bangsamor...            35
9  Eighty-one new soldiers will join the Armed Fo...            30
[2022-06-17 14:31:24,568] {logging_mixin.py:115} INFO -                                              summary  sum_word_cnt
0  A member of the Citizens Armed Forces Geograph...            24
1  The situation was eventually raised to a secon...            21
2  Two brothers who admitted to be members of the...            23
3  A magnitude-5.1 earthquake shook parts of Iloc...            13
4  Marijuana plants with an estimated value of P2...            19
5  Former National Press Club president Alfredo L...            19
6  The movement of the Abu Sayyaf bandit group wi...            32
7  The mayor of Pilar town in Abra and his sister...            30
8  Workers in the private sector in the Bangsamor...            35
9  Eighty-one new soldiers will join the Armed Fo...            30
[2022-06-17 14:31:24,582] {logging_mixin.py:115} INFO -                                              summary  sum_word_cnt
0  A member of the Citizens Armed Forces Geograph...            24
1  The situation was eventually raised to a secon...            21
2  Two brothers who admitted to be members of the...            23
3  A magnitude-5.1 earthquake shook parts of Iloc...            13
4  Marijuana plants with an estimated value of P2...            19
5  Former National Press Club president Alfredo L...            19
6  The movement of the Abu Sayyaf bandit group wi...            32
7  The mayor of Pilar town in Abra and his sister...            30
8  Workers in the private sector in the Bangsamor...            35
9  Eighty-one new soldiers will join the Armed Fo...            30
[2022-06-17 14:31:24,605] {logging_mixin.py:115} INFO -                                              summary  sum_word_cnt
0  A member of the Citizens Armed Forces Geograph...            24
1  The situation was eventually raised to a secon...            21
2  Two brothers who admitted to be members of the...            23
3  A magnitude-5.1 earthquake shook parts of Iloc...            13
4  Marijuana plants with an estimated value of P2...            19
5  Former National Press Club president Alfredo L...            19
6  The movement of the Abu Sayyaf bandit group wi...            32
7  The mayor of Pilar town in Abra and his sister...            30
8  Workers in the private sector in the Bangsamor...            35
9  Eighty-one new soldiers will join the Armed Fo...            30
[2022-06-17 14:31:24,605] {python.py:173} INFO - Done. Returned value was: None
[2022-06-17 14:31:24,619] {taskinstance.py:1400} INFO - Marking task as SUCCESS. dag_id=coffee_lake_scrapers-v1, task_id=word_count, execution_date=20220617T143114, start_date=20220617T143124, end_date=20220617T143124
[2022-06-17 14:31:24,666] {local_task_job.py:156} INFO - Task exited with return code 0
[2022-06-17 14:31:24,711] {local_task_job.py:273} INFO - 1 downstream tasks scheduled from follow-on schedule check
